label,cap-surface,gill-size,gill-color,ring-type,spore-print-color,population
p,s,n,k,p,k,s
e,s,b,n,p,n,n
p,y,n,n,p,k,s
e,s,b,k,e,n,a
e,y,b,n,p,k,n
e,s,b,g,p,k,n
e,y,b,n,p,n,s
p,y,n,p,p,k,v
e,s,b,g,p,k,s
e,y,b,g,p,n,n
e,y,b,n,p,k,s
e,s,b,w,p,n,s
p,y,n,k,p,n,v
e,f,b,n,e,k,a
e,f,n,k,p,n,y
e,f,b,k,e,n,a
p,y,n,n,p,n,s
p,s,n,k,p,n,s
e,s,b,k,p,n,s
p,y,n,n,p,n,v
e,y,b,k,p,n,s
e,y,b,w,p,n,n
e,s,b,g,p,k,s
p,s,n,n,p,n,v
e,y,b,n,p,n,n
e,s,n,n,p,n,v
e,y,b,n,p,n,n
e,y,b,p,p,n,y
e,y,b,n,p,n,s
e,f,n,w,p,n,v
e,f,n,k,p,k,v
p,y,n,w,p,n,s
e,f,n,p,p,n,v
e,s,b,k,p,k,s
e,y,b,n,p,k,y
p,y,n,p,p,n,v
e,s,b,w,p,k,n
e,y,b,k,p,k,s
e,s,b,w,p,n,n
e,y,b,n,p,n,s
e,y,b,w,p,k,s
e,s,b,k,p,k,s
e,s,b,k,p,n,n
p,y,n,k,p,n,v
p,s,n,k,p,k,v
e,f,b,n,e,n,a
e,s,b,w,p,n,n
e,s,b,k,p,k,n
e,y,b,p,p,k,y
e,f,n,k,p,n,v
e,y,b,k,p,n,s
e,s,b,g,p,n,s
e,y,b,g,p,n,n
e,y,b,n,p,n,s
e,s,b,k,e,k,a
e,s,b,n,p,k,s
e,f,n,p,p,n,v
e,f,n,p,p,n,v
e,y,b,g,p,n,s
e,f,n,w,p,n,v
e,y,b,p,p,k,s
e,s,n,p,p,n,v
e,y,b,p,p,n,y
e,y,b,n,p,n,y
e,s,b,k,e,n,s
p,y,n,w,p,k,s
e,f,n,n,p,n,y
e,f,b,n,e,n,s
e,y,b,w,p,k,s
e,s,b,k,e,k,s
e,s,b,w,p,k,s
e,s,b,n,p,n,s
e,y,b,w,p,k,y
e,f,n,n,p,n,v
e,f,n,n,p,n,y
e,s,b,k,p,k,s
e,y,b,g,p,k,s
e,y,b,g,p,k,n
e,s,b,n,e,n,a
e,s,b,g,p,n,s
e,y,b,p,p,n,s
e,s,b,n,p,k,n
e,s,b,g,p,n,s
e,y,b,g,p,k,s
e,f,b,p,e,k,s
e,s,b,n,p,k,n
e,y,b,n,p,k,y
e,y,b,g,p,n,n
e,y,b,n,p,k,s
e,y,b,g,p,n,s
e,s,b,k,p,k,n
e,s,b,w,p,k,n
e,f,n,g,p,k,y
e,s,b,n,p,k,n
p,y,n,n,p,n,v
e,y,b,p,p,n,s
e,f,n,p,p,n,y
e,y,b,w,p,k,y
e,s,n,p,p,u,v
e,f,n,k,p,n,y
p,s,n,k,p,k,v
p,y,n,p,p,k,v
e,s,b,k,e,n,a
e,s,b,n,e,k,s
e,s,b,w,p,n,n
e,s,b,n,p,k,n
e,s,b,n,p,n,s
e,s,b,w,p,n,s
e,y,b,w,p,n,s
e,s,n,w,p,u,v
e,y,b,g,p,k,s
e,s,n,p,p,n,v
p,y,n,w,p,n,v
e,f,n,w,p,n,v
e,y,b,n,p,n,s
p,s,n,p,p,n,v
e,y,b,w,p,k,y
e,y,b,g,p,k,n
e,f,n,k,p,n,v
e,y,b,k,p,k,n
e,f,b,k,e,k,s
e,f,b,k,e,n,a
e,y,b,w,p,n,n
e,s,b,k,p,k,n
e,y,b,g,p,k,n
e,y,b,w,p,n,s
e,s,b,p,e,n,a
e,y,b,g,p,n,s
e,f,n,k,p,k,v
e,s,n,w,p,u,v
e,y,b,w,p,k,s
e,y,b,k,p,n,n
e,y,b,k,p,n,n
e,y,b,n,p,k,s
e,s,b,g,p,k,s
e,y,b,n,p,n,y
e,y,b,k,p,n,s
e,y,b,w,p,n,y
e,s,b,w,p,n,s
e,s,b,w,p,k,s
e,y,b,w,p,k,y
e,s,b,k,p,k,s
e,f,n,g,p,n,y
e,s,b,k,p,n,s
e,f,n,n,p,u,v
e,y,b,w,p,k,s
e,y,b,p,p,n,s
e,y,b,w,p,k,n
e,y,b,g,p,n,n
e,s,b,g,p,n,n
p,y,n,p,p,n,v
e,f,n,g,p,n,y
e,f,n,g,p,k,v
e,y,b,p,p,k,s
p,y,n,k,p,k,s
